# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AATK	AATK	NM_001080395		0	1	3	1	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0
AATK	AATK	NM_004920		0	1	3	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1
ABCA1	ABCA1	NM_005502		1	4	3	7	0	0	0	0	0	0	0	0	1	6	3	0	0	0	0	0	0	0	4	1
ABCB1	ABCB1	NM_000927		0	2	1	2	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0
ABCB1	ABCB1	NM_001348944		0	2	1	2	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0
ABCB1	ABCB1	NM_001348945		0	3	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0
ABCB1	ABCB1	NM_001348946		0	2	1	2	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0
ABCB11	ABCB11	NM_003742		0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0
ABCB4	ABCB4	NM_000443		1	1	3	2	0	0	0	0	0	0	0	0	1	2	3	0	0	0	1	0	0	0	1	0
ABCB4	ABCB4	NM_018849		1	1	3	2	0	0	0	0	0	0	0	0	1	2	3	0	0	0	1	0	0	0	1	0
ABCB4	ABCB4	NM_018850		1	1	3	2	0	0	0	0	0	0	0	0	1	2	3	0	0	0	1	0	0	0	1	0
ABCC1	ABCC1	NM_004996		0	2	1	3	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	2	0
ABCC2	ABCC2	NM_000392		1	4	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	4	0
ABCG1	ABCG1	NM_004915		0	1	0	7	0	0	1	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0
ABCG1	ABCG1	NM_016818		0	1	0	7	0	0	1	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0
ABCG1	ABCG1	NM_207174		0	1	0	7	0	0	1	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	1
ABCG1	ABCG1	NM_207627		0	1	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0
ABCG1	ABCG1	NM_207628		0	1	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0
ABCG1	ABCG1	NM_207629		0	1	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0
ABCG2	ABCG2	NM_001257386		0	1	1	3	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0
ABCG2	ABCG2	NM_001348985		0	1	1	3	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0
